Date,Adj Close,Close,High,Low,Open,Volume
2017-01-03,56.3587532043457,72.69999694824219,73.5999984741211,72.19999694824219,73.5999984741211,6683521
2017-01-04,56.82390213012695,73.30000305175781,73.30000305175781,72.55000305175781,72.94999694824219,5933945
2017-01-05,57.444061279296875,74.0999984741211,74.0999984741211,73.0,73.05000305175781,6407925
2017-01-06,57.8316764831543,74.5999984741211,74.5999984741211,73.69999694824219,74.0,5677602
2017-01-09,57.909202575683594,74.69999694824219,74.9000015258789,74.44999694824219,74.69999694824219,5217664
2017-01-10,57.59912109375,74.30000305175781,74.80000305175781,73.75,74.5999984741211,5659853
2017-01-11,57.59912109375,74.30000305175781,74.8499984741211,74.30000305175781,74.80000305175781,6365571
2017-01-12,57.71540451049805,74.44999694824219,74.5999984741211,73.94999694824219,74.0999984741211,5949230
2017-01-13,57.75416946411133,74.5,74.6500015258789,74.05000305175781,74.6500015258789,4174692
2017-01-16,57.405311584472656,74.05000305175781,74.5,74.05000305175781,74.4000015258789,3772859
2017-01-17,56.86265563964844,73.3499984741211,74.05000305175781,73.05000305175781,73.94999694824219,4978232
2017-01-18,57.1727409362793,73.75,73.94999694824219,73.5,73.5999984741211,3523308
2017-01-19,56.74636459350586,73.19999694824219,73.9000015258789,73.0999984741211,73.80000305175781,7760548
2017-01-20,56.86265563964844,73.3499984741211,73.3499984741211,73.0,73.3499984741211,11247573
2017-01-23,56.668846130371094,73.0999984741211,73.30000305175781,72.8499984741211,73.0999984741211,5838234
2017-01-24,56.86265563964844,73.3499984741211,73.4000015258789,72.8499984741211,73.19999694824219,4568628
2017-01-25,57.211509704589844,73.80000305175781,73.80000305175781,73.19999694824219,73.44999694824219,6735227
2017-01-26,56.436283111572266,72.80000305175781,73.80000305175781,72.80000305175781,73.25,7887172
2017-01-27,56.70761489868164,73.1500015258789,73.30000305175781,72.80000305175781,72.80000305175781,4572818
2017-01-30,56.12619400024414,72.4000015258789,73.05000305175781,72.0,72.9000015258789,5586276
2017-01-31,56.04867172241211,72.30000305175781,72.69999694824219,71.94999694824219,72.44999694824219,7167423
2017-02-01,55.93238830566406,72.1500015258789,73.25,72.1500015258789,72.6500015258789,5893675
2017-02-02,55.816104888916016,72.0,72.75,71.6500015258789,72.0999984741211,6175087
2017-02-03,56.47504425048828,72.8499984741211,73.0999984741211,72.30000305175781,72.4000015258789,4155229
2017-02-06,56.31999588012695,72.6500015258789,73.1500015258789,72.55000305175781,72.9000015258789,3958699
2017-02-07,56.47504425048828,72.8499984741211,73.19999694824219,72.6500015258789,72.6500015258789,7728402
2017-02-08,57.444061279296875,74.0999984741211,74.44999694824219,72.75,73.05000305175781,7258542
2017-02-09,57.32779312133789,73.94999694824219,74.4000015258789,73.6500015258789,74.05000305175781,5978374
2017-02-10,57.32779312133789,73.94999694824219,74.05000305175781,73.30000305175781,74.0,4639743
2017-02-13,57.09522247314453,73.6500015258789,73.9000015258789,73.3499984741211,73.5,3301179
2017-02-14,56.59132766723633,73.0,73.75,72.9000015258789,73.5,3976463
2017-02-15,56.70761489868164,73.1500015258789,73.3499984741211,72.5999984741211,73.05000305175781,5556414
2017-02-16,56.164955139160156,72.44999694824219,72.69999694824219,71.44999694824219,71.69999694824219,15576252
2017-02-17,57.250267028808594,73.8499984741211,73.9000015258789,72.0,72.0999984741211,15428333
2017-02-20,56.78512954711914,73.25,73.80000305175781,72.94999694824219,73.69999694824219,4523861
2017-02-21,56.90141296386719,73.4000015258789,73.75,73.0,73.05000305175781,4044788
2017-02-22,57.59912109375,74.30000305175781,74.55000305175781,73.19999694824219,73.25,9295832
2017-02-23,57.98673629760742,74.80000305175781,74.9000015258789,73.9000015258789,74.05000305175781,4937020
2017-02-24,57.75416946411133,74.5,74.75,74.05000305175781,74.5,4265415
2017-02-27,57.59912109375,74.30000305175781,74.94999694824219,74.19999694824219,74.6500015258789,4368094
2017-02-28,57.56035614013672,74.25,74.5,73.80000305175781,74.3499984741211,5750834
2017-03-01,57.909202575683594,74.69999694824219,74.69999694824219,74.05000305175781,74.19999694824219,5705208
2017-03-02,57.8316764831543,74.5999984741211,74.69999694824219,74.19999694824219,74.5999984741211,5173058
2017-03-03,57.87044906616211,74.6500015258789,74.75,74.30000305175781,74.5999984741211,4602077
2017-03-06,58.29680633544922,75.19999694824219,75.19999694824219,74.25,74.30000305175781,4767368
2017-03-07,58.49062728881836,75.44999694824219,75.9000015258789,75.1500015258789,75.19999694824219,8446136
2017-03-08,58.14177322387695,75.0,75.55000305175781,74.8499984741211,75.25,5419563
2017-03-09,58.335567474365234,75.25,75.25,74.44999694824219,74.75,5360006
2017-03-10,58.49062728881836,75.44999694824219,75.5,74.9000015258789,75.4000015258789,4931056
2017-03-13,58.83946990966797,75.9000015258789,76.0999984741211,75.30000305175781,75.5,5483425
2017-03-14,58.95576095581055,76.05000305175781,76.30000305175781,75.80000305175781,75.80000305175781,3995848
2017-03-15,59.38212203979492,76.5999984741211,76.5999984741211,75.94999694824219,76.1500015258789,6847668
2017-03-16,59.61470413208008,76.9000015258789,77.0999984741211,76.55000305175781,76.80000305175781,8119015
2017-03-17,59.847267150878906,77.19999694824219,77.19999694824219,76.4000015258789,77.0999984741211,20433014
