Date,Adj Close,Close,High,Low,Open,Volume
2017-01-03,65.59146118164062,84.19999694824219,84.38999938964844,83.5,83.87999725341797,8792700
2017-01-04,65.82514190673828,84.5,84.5999984741211,84.23999786376953,84.44999694824219,8096700
2017-01-05,66.26142120361328,85.05999755859375,85.43000030517578,84.37999725341797,84.41000366210938,6852400
2017-01-06,66.23800659179688,85.02999877929688,85.25,84.62000274658203,84.94000244140625,4799900
2017-01-09,65.74726104736328,84.4000015258789,84.66000366210938,83.75,84.05999755859375,11000600
2017-01-10,65.03838348388672,83.48999786376953,84.43000030517578,83.23999786376953,84.33999633789062,10918200
2017-01-11,65.24091339111328,83.75,83.75,83.27999877929688,83.38999938964844,9572300
2017-01-12,65.31103515625,83.83999633789062,83.87999725341797,83.37000274658203,83.70999908447266,6545400
2017-01-13,65.44346618652344,84.01000213623047,84.0199966430664,83.44000244140625,83.8499984741211,6762800
2017-01-17,66.37825012207031,85.20999908447266,85.58000183105469,83.87999725341797,83.9000015258789,13145100
2017-01-18,66.6844711303711,84.93000030517578,85.30000305175781,84.58999633789062,84.80000305175781,10520400
2017-01-19,66.5038833618164,84.69999694824219,85.0,84.27999877929688,84.62999725341797,14074500
2017-01-20,68.66310119628906,87.44999694824219,87.9800033569336,86.41999816894531,86.88999938964844,22944400
2017-01-23,68.27836608886719,86.95999908447266,87.3499984741211,86.8499984741211,87.08999633789062,9408900
2017-01-24,68.98502349853516,87.86000061035156,87.94999694824219,87.22000122070312,87.22000122070312,8704700
2017-01-25,68.4354019165039,87.16000366210938,87.9000015258789,87.05999755859375,87.83999633789062,8082900
2017-01-26,67.99568939208984,86.5999984741211,87.2300033569336,86.58999633789062,87.12000274658203,6542300
2017-01-27,68.08991241455078,86.72000122070312,86.8499984741211,86.0199966430664,86.44999694824219,9332300
2017-01-30,68.11347198486328,86.75,86.86000061035156,86.5,86.77999877929688,7350000
2017-01-31,68.78086853027344,87.5999984741211,87.66000366210938,86.52999877929688,86.62999725341797,9712400
2017-02-01,68.56887817382812,87.33000183105469,87.58999633789062,86.75,87.02999877929688,8291000
2017-02-02,68.90650177001953,87.76000213623047,88.3499984741211,87.25,87.61000061035156,8997200
2017-02-03,68.63169860839844,87.41000366210938,88.16999816894531,87.38999938964844,88.12000274658203,7161900
2017-02-06,68.62384796142578,87.4000015258789,87.79000091552734,87.12999725341797,87.5,7483000
2017-02-07,69.10277557373047,88.01000213623047,88.27999877929688,87.4800033569336,87.63999938964844,6646100
2017-02-08,69.35401916503906,88.33000183105469,88.33999633789062,87.80999755859375,88.06999969482422,6815800
2017-02-09,69.62100982666016,88.66999816894531,88.77999877929688,88.02999877929688,88.33000183105469,9914100
2017-02-10,69.07135772705078,87.97000122070312,88.7300033569336,87.97000122070312,88.55999755859375,11057600
2017-02-13,69.33833312988281,88.30999755859375,88.36000061035156,87.63999938964844,88.04000091552734,6905100
2017-02-14,68.98502349853516,87.86000061035156,88.22000122070312,87.2300033569336,88.0,20123400
2017-02-15,71.54466247558594,91.12000274658203,91.1500015258789,89.80999755859375,89.80999755859375,25847700
2017-02-16,71.28556060791016,90.79000091552734,91.12000274658203,90.54000091552734,90.91999816894531,12408500
2017-02-17,71.52113342285156,91.08999633789062,91.36000061035156,90.44999694824219,90.61000061035156,12152400
2017-02-21,71.97650146484375,91.66999816894531,91.80000305175781,90.58000183105469,90.58000183105469,9018700
2017-02-22,71.79591369628906,91.44000244140625,91.80000305175781,91.25,91.44999694824219,6749900
2017-02-23,71.55253601074219,91.12999725341797,91.80000305175781,90.91000366210938,91.61000061035156,7611600
2017-02-24,71.48970031738281,91.05000305175781,91.33999633789062,90.66999816894531,90.97000122070312,6643400
2017-02-27,71.36408996582031,90.88999938964844,90.91000366210938,90.05999755859375,90.52999877929688,11840300
2017-02-28,71.50540161132812,91.06999969482422,91.79000091552734,90.6500015258789,90.9000015258789,10535600
2017-03-01,71.9686508178711,91.66000366210938,91.88999938964844,90.70999908447266,91.05000305175781,8792200
2017-03-02,71.3797836303711,90.91000366210938,91.58999633789062,90.87999725341797,91.4000015258789,7031200
2017-03-03,71.05785369873047,90.5,90.91000366210938,89.88999938964844,90.91000366210938,8334900
2017-03-06,70.95579528808594,90.37000274658203,90.51000213623047,89.58999633789062,89.88999938964844,9533800
2017-03-07,70.89295196533203,90.29000091552734,90.48999786376953,90.05999755859375,90.13999938964844,5363000
2017-03-08,70.77521514892578,90.13999938964844,90.3499984741211,89.76000213623047,90.0199966430664,5503700
2017-03-09,70.93224334716797,90.33999633789062,90.48999786376953,90.0999984741211,90.13999938964844,5587400
2017-03-10,71.50540161132812,91.06999969482422,91.16000366210938,90.6500015258789,90.80000305175781,6797800
2017-03-13,71.69384765625,91.30999755859375,91.48999786376953,90.8499984741211,91.05999755859375,7397500
2017-03-14,71.45045471191406,91.0,91.58999633789062,90.81999969482422,91.26000213623047,6686400
2017-03-15,71.7645263671875,91.4000015258789,91.77999877929688,90.7300033569336,91.0,7855300
2017-03-16,71.79591369628906,91.44000244140625,91.72000122070312,91.0999984741211,91.44000244140625,6601200
2017-03-17,71.45045471191406,91.0,92.0,90.91999816894531,91.44999694824219,37010100
2017-03-20,71.6231689453125,91.22000122070312,91.41000366210938,90.94000244140625,90.95999908447266,7772900
2017-03-21,71.5996322631836,91.19000244140625,91.75,91.02999877929688,91.30000305175781,8211000
2017-03-22,71.44259643554688,90.98999786376953,91.80000305175781,90.75,91.30999755859375,7798000
2017-03-23,71.2698745727539,90.7699966430664,91.45999908447266,90.5999984741211,90.91000366210938,6831400
